iter	Logloss
0	0.6508874145
1	0.6114729136
2	0.5786219089
3	0.553739247
4	0.5291406126
5	0.5126723754
6	0.4974372487
7	0.4878602426
8	0.4781634111
9	0.4674188655
10	0.4570730331
11	0.447632081
12	0.4401383179
13	0.4336052554
14	0.4273813037
15	0.4229624633
16	0.4174922062
17	0.4119059652
18	0.40721241
19	0.4032800463
20	0.3988640188
21	0.3944638629
22	0.3911647989
23	0.3884861588
24	0.3858989827
25	0.3823736716
26	0.3790873849
27	0.375853287
28	0.3688891275
29	0.3664962864
30	0.3640572219
31	0.3602251473
32	0.3582896647
33	0.354610329
34	0.350408057
35	0.34689035
36	0.3444758804
37	0.3425252145
38	0.3395035306
39	0.3352318
40	0.333449795
41	0.3307950158
42	0.3279893916
43	0.3265166937
44	0.3245208115
45	0.3207275049
46	0.3170996112
47	0.3156700888
48	0.3120565753
49	0.3116144788
50	0.3094691379
51	0.3062633291
52	0.3032749991
53	0.3002761009
54	0.2979688897
55	0.2965422903
56	0.2951593217
57	0.2934779704
58	0.2915104055
59	0.2898541224
60	0.2874791834
61	0.2851978918
62	0.2835675597
63	0.2817443563
64	0.2809070319
65	0.2796810754
66	0.2782700353
67	0.277141362
68	0.2759661512
69	0.2739738857
70	0.2720352833
71	0.2697834632
72	0.2676586723
73	0.2667512438
74	0.2654852392
75	0.2641494844
76	0.262827961
77	0.2612088959
78	0.2591049344
79	0.2574099773
80	0.2559299729
81	0.2540183935
82	0.2514501453
83	0.2505047615
84	0.2491743974
85	0.2483236352
86	0.246380185
87	0.2454524653
88	0.2440356254
89	0.2424192282
90	0.241294282
91	0.240105847
92	0.2380801097
93	0.2372105512
94	0.2363669986
95	0.2350241659
96	0.2342437643
97	0.2331983852
98	0.231505391
99	0.2300162478
100	0.2286999821
101	0.2278480602
102	0.2272033665
103	0.2261276926
104	0.22453761
105	0.2236601007
106	0.2229338879
107	0.2218913196
108	0.2207862481
109	0.2199848801
110	0.2190789812
111	0.2184428246
112	0.2173945263
113	0.2161647606
114	0.2153540503
115	0.2143835911
116	0.2132465052
117	0.2119261776
118	0.2108988537
119	0.2099656237
120	0.2090008773
121	0.2079007427
122	0.2066587439
123	0.2058629211
124	0.2054041133
125	0.2047716649
126	0.2038351247
127	0.2027048679
128	0.2013422565
129	0.2001822564
130	0.1994325841
131	0.1983071176
132	0.1973241407
133	0.1964053125
134	0.1952131689
135	0.1942912832
136	0.1935292109
137	0.1926846648
138	0.1917808912
139	0.190894306
140	0.1902794118
141	0.1894269913
142	0.1885942543
143	0.1877415316
144	0.1868053478
145	0.1860299823
146	0.1853053579
147	0.1841586509
148	0.1834701685
149	0.1827534052
150	0.1818849329
151	0.1806244896
152	0.1799235231
153	0.1793994884
154	0.1786928843
155	0.1777369217
156	0.1765474044
157	0.1756943495
158	0.1745945075
159	0.1738710725
160	0.1731124975
161	0.172560731
162	0.1720814673
163	0.171413297
164	0.1707245202
165	0.1693854359
166	0.1686964439
167	0.1683186786
168	0.1676763146
169	0.1669738189
170	0.166193126
171	0.1653537162
172	0.1645182458
173	0.1638603213
174	0.1630177096
175	0.1623613108
176	0.1615384325
177	0.160662355
178	0.1597971606
179	0.1592835239
180	0.1587004939
181	0.1579035061
182	0.1572875747
183	0.156305952
184	0.1557241499
185	0.1547717209
186	0.1540292301
187	0.1532295639
188	0.1528479255
189	0.1519474255
190	0.1514292916
191	0.1508955038
192	0.1501136748
193	0.1495670839
194	0.1489948116
195	0.1483604583
196	0.1477407286
197	0.1470451563
198	0.1462885569
199	0.1459279351
